Year,Month,DayofMonth,DayOfWeek,UniqueCarrier,TailNum,FlightNum,Origin,Dest,CRSDepTime,DepTime,DepDelay,TaxiOut,TaxiIn,CRSArrTime,ArrTime,ArrDelay,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Distance,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Weekday,ArrDelay_positive,ArrDelay_log,DecimalDepTime,speed
2019,8,22,4,AA,N998NN,2473,SEA,DFW,2355,2352.0,-3.0,14.0,5.0,547,526.0,-21.0,0.0,,0.0,232.0,214.0,195.0,1660.0,,,,,,Thursday,0.0,0.0,23.916666666666668,510.7692307692308
2019,4,1,1,AA,N904AA,2430,TPA,DFW,1722,1713.0,-9.0,11.0,10.0,1921,1902.0,-19.0,0.0,,0.0,179.0,169.0,148.0,929.0,,,,,,Monday,0.0,0.0,17.366666666666667,376.6216216216216
2019,1,4,5,F9,N705FR,2111,ISP,FLL,1505,1522.0,17.0,15.0,17.0,1815,1837.0,22.0,0.0,,0.0,190.0,195.0,163.0,1092.0,17.0,0.0,5.0,0.0,0.0,Friday,22.0,3.1354942159291497,15.083333333333334,401.9631901840491
2019,6,7,5,NK,N907NK,207,DFW,LAS,2117,2139.0,22.0,15.0,5.0,2213,2224.0,11.0,0.0,,0.0,176.0,165.0,145.0,1055.0,,,,,,Friday,11.0,2.4849066497880004,21.283333333333335,436.551724137931
2019,8,6,2,AA,N9620D,2591,DFW,SAT,730,722.0,-8.0,15.0,3.0,838,820.0,-18.0,0.0,,0.0,68.0,58.0,40.0,247.0,,,,,,Tuesday,0.0,0.0,7.5,370.5
2019,3,12,2,DL,N306DQ,1334,ATL,PHF,2039,2036.0,-3.0,13.0,4.0,2215,2202.0,-13.0,0.0,,0.0,96.0,86.0,69.0,508.0,,,,,,Tuesday,0.0,0.0,20.65,441.7391304347826
2019,7,9,2,DL,N964AT,2630,LAX,DEN,1400,1354.0,-6.0,15.0,8.0,1732,1704.0,-28.0,0.0,,0.0,152.0,130.0,107.0,862.0,,,,,,Tuesday,0.0,0.0,14.0,483.3644859813084
2019,2,7,4,YV,N249LR,5756,CRP,DFW,1637,1643.0,6.0,14.0,6.0,1800,1803.0,3.0,0.0,,0.0,83.0,80.0,60.0,354.0,,,,,,Thursday,3.0,1.3862943611198906,16.616666666666667,354.0
2019,3,13,3,OO,N439SW,7372,MSP,BJI,2225,2220.0,-5.0,24.0,4.0,2324,2323.0,-1.0,0.0,,0.0,59.0,63.0,35.0,199.0,,,,,,Wednesday,0.0,0.0,22.416666666666668,341.14285714285717
2019,6,17,1,UA,N76516,1698,RDU,SFO,711,901.0,110.0,17.0,53.0,950,1208.0,138.0,0.0,,0.0,339.0,367.0,297.0,2400.0,0.0,0.0,138.0,0.0,0.0,Monday,138.0,4.9344739331306915,7.183333333333334,484.8484848484849
